seg_index,lat_center,lon_center,lat_inner,lon_inner,lat_outer,lon_outer
67,-8.167795181,113.7164466,-8.167836602,113.7164289,-8.16775376,113.7164642
68,-8.167813295,113.7165123,-8.167858045,113.7165078,-8.167768545,113.7165167
69,-8.167803117,113.7165628,-8.167841394,113.7165866,-8.16776484,113.7165389
70,-8.167761816,113.7165992,-8.167782876,113.7166394,-8.167740757,113.7165591
71,-8.167695761,113.7166266,-8.167709488,113.7166699,-8.167682034,113.7165834
72,-8.167618004,113.7166515,-8.167631463,113.7166949,-8.167604544,113.7166082
73,-8.167543077,113.7166792,-8.167560656,113.716721,-8.167525499,113.7166374
74,-8.167473179,113.7167085,-8.167490055,113.7167506,-8.167456302,113.7166664
75,-8.167401952,113.7167374,-8.16741866,113.7167796,-8.167385244,113.7166953
76,-8.167328069,113.7167679,-8.167345293,113.7168098,-8.167310846,113.7167259
77,-8.167252174,113.7167991,-8.167268913,113.7168413,-8.167235435,113.716757
78,-8.167176288,113.71683,-8.167193117,113.7168721,-8.167159458,113.7167879
79,-8.167101486,113.7168608,-8.167118581,113.7169028,-8.167084392,113.7168187
80,-8.167027076,113.716891,-8.167043516,113.7169332,-8.167010636,113.7168487
81,-8.166953323,113.7169199,-8.16696945,113.7169623,-8.166937197,113.7168775
82,-8.166879369,113.7169488,-8.166895636,113.7169911,-8.166863103,113.7169064
83,-8.166803509,113.7169783,-8.166819552,113.7170207,-8.166787467,113.7169358
84,-8.166726713,113.7170089,-8.166743739,113.717051,-8.166709686,113.7169669
85,-8.166647917,113.7170423,-8.166665582,113.717084,-8.166630253,113.7170005
86,-8.166561628,113.717078,-8.166578155,113.7171203,-8.166545101,113.7170358
87,-8.166471724,113.7171156,-8.166489635,113.7171573,-8.166453812,113.717074
88,-8.16639605,113.7171566,-8.166421245,113.7171942,-8.166370855,113.717119
89,-8.166351148,113.7172044,-8.166391164,113.7172251,-8.166311132,113.7171837
90,-8.166342242,113.7172618,-8.166386763,113.7172554,-8.166297722,113.7172681
91,-8.166362363,113.7173274,-8.166403181,113.7173083,-8.166321545,113.7173464
92,-8.166396929,113.7173952,-8.166436012,113.7173727,-8.166357846,113.7174177
93,-8.16642999,113.7174585,-8.166470492,113.7174387,-8.166389488,113.7174782
94,-8.166454581,113.7175136,-8.166496144,113.7174963,-8.166413019,113.7175309
95,-8.166476528,113.7175647,-8.16651747,113.7175459,-8.166435587,113.7175835
96,-8.166500295,113.7176173,-8.16654115,113.7175983,-8.16645944,113.7176362
97,-8.166525703,113.7176736,-8.166566671,113.7176548,-8.166484735,113.7176923
98,-8.166553666,113.7177351,-8.166594445,113.717716,-8.166512887,113.7177543
99,-8.166583436,113.7177998,-8.166624208,113.7177807,-8.166542665,113.717819
100,-8.166613719,113.7178652,-8.166654394,113.7178458,-8.166573044,113.7178845
101,-8.166643119,113.7179288,-8.166683935,113.7179097,-8.166602303,113.7179478
102,-8.166670708,113.7179879,-8.16671121,113.7179681,-8.166630207,113.7180076
103,-8.16669653,113.7180432,-8.166737379,113.7180242,-8.166655681,113.7180622
104,-8.166721526,113.7180976,-8.16676224,113.7180783,-8.166680812,113.7181168
105,-8.166749969,113.7181544,-8.166789541,113.7181328,-8.166710396,113.7181759
106,-8.166780122,113.7182147,-8.166820794,113.7181953,-8.16673945,113.7182341
107,-8.166801668,113.7182744,-8.166845277,113.7182633,-8.166758059,113.7182855
108,-8.166803973,113.7183281,-8.166848044,113.7183371,-8.166759901,113.718319
109,-8.166779869,113.7183711,-8.166810932,113.718404,-8.166748806,113.7183383
110,-8.166731925,113.718404,-8.166751858,113.7184447,-8.166711993,113.7183633
111,-8.166670901,113.718431,-8.166687129,113.7184734,-8.166654672,113.7183886
112,-8.166608029,113.7184567,-8.166625498,113.7184985,-8.166590561,113.7184148
113,-8.166546848,113.7184846,-8.166566343,113.7185255,-8.166527354,113.7184436
114,-8.166483588,113.7185157,-8.166503496,113.7185565,-8.166463679,113.718475
115,-8.1664168,113.7185493,-8.16643692,113.7185899,-8.16639668,113.7185086
116,-8.166347056,113.7185844,-8.166367047,113.7186251,-8.166327064,113.7185437
117,-8.166277023,113.7186187,-8.166296287,113.7186598,-8.16625776,113.7185777
118,-8.166210821,113.7186502,-8.166229811,113.7186913,-8.166191831,113.718609
119,-8.166148041,113.7186794,-8.166166668,113.7187207,-8.166129414,113.718638
