lon,lat
106.8859893,-6.203017158
106.8859884,-6.203109528
106.8859866,-6.203180369
106.8859848,-6.203251225
106.8859819,-6.203341394
106.8859819,-6.203418837
106.8859804,-6.203483306
106.8859784,-6.203558516
106.885975,-6.203656571
106.8859714,-6.20372087
106.8859675,-6.203791614
106.8859639,-6.203855938
106.8859619,-6.203928973
106.8859565,-6.203986769
106.8859566,-6.204062097
106.8859548,-6.204133513
106.885951,-6.204199949
106.8859468,-6.204274974
106.8859448,-6.204350134
106.8859455,-6.204414707
106.8859415,-6.204485489
106.8859378,-6.204551239
106.8859369,-6.204607072
106.8859329,-6.204677798
106.8859294,-6.204739963
106.8859257,-6.204806428
106.8859218,-6.20487505
106.8859201,-6.204943806
106.8859165,-6.205008165
106.8859174,-6.205068619
106.8859161,-6.205130835
106.8859125,-6.205195084
106.8859147,-6.205272557
106.8859108,-6.205341118
106.88591,-6.20539481
106.8859103,-6.205465778
106.8859129,-6.205534736
106.8859111,-6.205605614
106.8859158,-6.205676864
106.8859123,-6.20573907
106.8859099,-6.205820805
106.8859049,-6.205908729
106.8859012,-6.205975224
106.8859027,-6.206063547
106.8858949,-6.206125063
106.8858909,-6.206197969
106.885891,-6.206273274
106.8858907,-6.206355033
106.8858834,-6.206446204
106.885878,-6.206503959
106.885879,-6.206564228
106.8858824,-6.206618193
106.8858902,-6.206672405
106.8859229,-6.206706491
106.8859656,-6.206717463
106.8860367,-6.20672141
106.8861019,-6.206716417
106.8861691,-6.20671369
106.8862517,-6.206707509
106.8863318,-6.206705499
106.8864143,-6.206701464
106.886507,-6.206704451
106.8865998,-6.206707448
106.8866904,-6.206712471
106.8867746,-6.20671499
106.886861,-6.206717628
106.8869279,-6.206721335
106.8870054,-6.206716365
106.887079,-6.20671614
106.88717,-6.206712582
106.8872613,-6.206704734
106.8873631,-6.20670392
106.8874566,-6.206694047
106.8875454,-6.206692515
106.887628,-6.206686334
106.8877123,-6.206686708
106.8877862,-6.206680049
106.8878769,-6.206673487
106.8879506,-6.206671116
106.888031,-6.206664814
106.8881071,-6.206658273
106.8881829,-6.206656022
106.8882546,-6.206651387
106.8883371,-6.206645205
106.8884136,-6.206632229
106.8885002,-6.206619821
106.8885782,-6.206617691
106.8886585,-6.206613536
106.8887429,-6.206613909
106.8888191,-6.206605225
106.8889035,-6.206603454
106.8889903,-6.206599658
106.889062,-6.20659288
106.8891749,-6.20658623
106.8892474,-6.206584236
106.8893231,-6.206584131
106.8893904,-6.206579257
106.8894752,-6.206573196
106.8895469,-6.206566417
106.8896296,-6.206558092
106.8897163,-6.206554295
106.8898028,-6.206542909
106.8898836,-6.206542055
106.8899657,-6.206544453
106.8900482,-6.206538274
106.8901109,-6.206539596
106.8901047,-6.206465818
106.8900974,-6.206400866
106.8901009,-6.206338668
106.8900997,-6.206282676
106.8900997,-6.20620311
106.8900991,-6.206136423
106.8900985,-6.206069748
106.8900976,-6.205968689
106.8900951,-6.205900734
106.8900944,-6.205836183
106.8900964,-6.205761048
106.890096,-6.205690095
106.8900938,-6.205612611
106.8900911,-6.205543711
106.8900903,-6.205481369
106.8900903,-6.205410993
106.8900872,-6.205350602
106.890088,-6.205296891
106.8900837,-6.205219256
106.8900871,-6.205157115
106.8900846,-6.205086058
106.8900869,-6.205006687
106.8900913,-6.204927454
106.8900963,-6.204840631
106.8900978,-6.204774075
106.8900982,-6.204690272
106.890102,-6.204621722
106.8901044,-6.204543195
106.8901064,-6.204468045
106.8901079,-6.204401483
106.8901125,-6.204320055
106.8901151,-6.204234243
106.8901132,-6.204154444
106.8901151,-6.204081435
106.8901166,-6.204014871
106.8901232,-6.203935703
106.8901269,-6.203869287
106.8901249,-6.203791652
106.8901279,-6.203738063
106.8901298,-6.203665076
106.8901345,-6.20357937
106.890139,-6.20350169
106.8901367,-6.203426306
106.8901404,-6.203359869
106.8901473,-6.203274282
106.8901477,-6.203191424
106.8901498,-6.203116266
106.8901518,-6.203041124
106.890154,-6.202964023
106.890158,-6.202893268
106.8901612,-6.202835388
106.8901648,-6.202771089
106.8901681,-6.202711087
106.8901746,-6.202634888
106.8901759,-6.202572618
106.8901785,-6.202486792
106.8901831,-6.202405391
106.8901874,-6.202328291
106.8901898,-6.202246808
106.8901819,-6.202194833
106.8901424,-6.202166878
106.8900929,-6.20216199
106.89002,-6.202151508
106.8899512,-6.202145545
106.889863,-6.202138508
106.8897757,-6.202130339
106.8896873,-6.202125441
106.8895972,-6.202114001
106.8895113,-6.2021028
106.889421,-6.202095641
106.8893435,-6.2020892
106.8892466,-6.202083824
106.8891586,-6.202072504
106.8890732,-6.202063209
106.8889999,-6.202059147
106.8889116,-6.202054249
106.8888211,-6.202049231
106.8887178,-6.202041355
106.8886273,-6.202036338
106.8885519,-6.202032156
106.8884722,-6.202025594
106.8883883,-6.202026538
106.8883129,-6.202022357
106.8882353,-6.202018057
106.8881448,-6.202013039
106.8880716,-6.202008978
106.8879886,-6.202004302
106.8878973,-6.20199502
106.8878177,-6.201988459
106.8877227,-6.201987484
106.8876397,-6.201984852
106.8875576,-6.201984594
106.8874733,-6.201984215
106.8873911,-6.201986097
106.8872981,-6.201987381
106.8872122,-6.201997366
106.8871278,-6.202001417
106.8870477,-6.202005557
106.8869634,-6.202005179
106.8868855,-6.202007298
106.8867793,-6.202012145
106.8866837,-6.202017577
106.8866147,-6.202015894
106.8865261,-6.202015277
106.8864221,-6.202020244
106.8863333,-6.202023907
106.8862357,-6.202029232
106.886149,-6.202035155
106.8860712,-6.202035134
106.8860243,-6.20206045
