seg_index,lat_center,lon_center,lat_inner,lon_inner,lat_outer,lon_outer
82,-8.895965508,116.3005275,-8.895978068,116.3004644,-8.895952947,116.3005907
83,-8.896033328,116.3005422,-8.896048003,116.3004795,-8.896018652,116.3006049
84,-8.896101235,116.3005592,-8.896117861,116.300497,-8.896084609,116.3006215
85,-8.896169152,116.300579,-8.896188482,116.3005175,-8.896149822,116.3006404
86,-8.896236893,116.3006018,-8.89625859,116.3005411,-8.896215197,116.3006624
87,-8.896304083,116.3006271,-8.896327786,116.3005672,-8.896280381,116.300687
88,-8.896370824,116.3006546,-8.896396181,116.3005953,-8.896345467,116.3007138
89,-8.89643739,116.3006845,-8.896464917,116.3006263,-8.896409863,116.3007428
90,-8.896503618,116.3007173,-8.896533132,116.30066,-8.896474104,116.3007745
91,-8.896569665,116.3007525,-8.896600827,116.3006962,-8.896538504,116.3008089
92,-8.896635523,116.3007897,-8.896667722,116.300734,-8.896603324,116.3008455
93,-8.896700784,116.3008285,-8.896734333,116.3007735,-8.896667234,116.3008835
94,-8.896765699,116.3008689,-8.896800276,116.3008146,-8.896731123,116.3009233
95,-8.896830647,116.3009109,-8.896865933,116.300857,-8.896795361,116.3009647
96,-8.89689545,116.3009538,-8.896931301,116.3009003,-8.8968596,116.3010073
97,-8.896959948,116.3009975,-8.896996349,116.3009443,-8.896923547,116.3010506
98,-8.897024286,116.3010419,-8.897061077,116.300989,-8.896987496,116.3010948
99,-8.897088538,116.3010869,-8.897125649,116.3010342,-8.897051428,116.3011395
100,-8.897152351,116.301132,-8.897189672,116.3010795,-8.897115029,116.3011846
101,-8.897215176,116.3011769,-8.897252667,116.3011245,-8.897177686,116.3012292
102,-8.897276911,116.3012212,-8.897314563,116.3011689,-8.897239259,116.3012735
103,-8.897337628,116.3012649,-8.897375251,116.3012126,-8.897300006,116.3013172
104,-8.89739771,116.3013076,-8.897434653,116.3012548,-8.897360766,116.3013603
105,-8.897457246,116.3013493,-8.897494229,116.3012965,-8.897420262,116.301402
106,-8.897515778,116.3013905,-8.897553007,116.301338,-8.89747855,116.3014431
107,-8.897573273,116.3014311,-8.897610275,116.3013783,-8.89753627,116.3014838
108,-8.897629943,116.3014707,-8.897666783,116.3014179,-8.897593103,116.3015235
109,-8.897685411,116.3015093,-8.897722148,116.3014564,-8.897648673,116.3015622
110,-8.8977394,116.3015468,-8.897776186,116.3014939,-8.897702613,116.3015997
111,-8.89779196,116.3015835,-8.897828924,116.3015308,-8.897754996,116.3016363
112,-8.897842872,116.3016194,-8.897880131,116.3015668,-8.897805613,116.3016719
113,-8.897891995,116.3016543,-8.897929395,116.3016019,-8.897854596,116.3017068
114,-8.89793929,116.301688,-8.897976561,116.3016354,-8.897902019,116.3017405
115,-8.897984972,116.3017206,-8.898022659,116.3016684,-8.897947285,116.3017729
116,-8.89802903,116.3017525,-8.898066911,116.3017005,-8.897991148,116.3018046
117,-8.898071313,116.3017839,-8.898110181,116.3017325,-8.898032445,116.3018353
118,-8.898112025,116.3018154,-8.898151946,116.3017648,-8.898072104,116.3018659
119,-8.898151586,116.3018474,-8.898192783,116.3017979,-8.898110389,116.301897
120,-8.898190227,116.3018802,-8.89823233,116.3018314,-8.898148124,116.3019289
121,-8.89822805,116.3019137,-8.898271415,116.3018661,-8.898184685,116.3019614
122,-8.898264806,116.3019482,-8.898309502,116.3019018,-8.898220109,116.3019945
123,-8.898300258,116.3019837,-8.898346713,116.301939,-8.898253802,116.3020283
124,-8.898334927,116.3020205,-8.898382266,116.3019768,-8.898287589,116.3020642
125,-8.898368795,116.3020582,-8.89841728,116.3020158,-8.898320309,116.3021006
126,-8.898401528,116.3020967,-8.89845116,116.3020556,-8.898351896,116.3021377
127,-8.898433412,116.3021362,-8.898484009,116.3020963,-8.898382815,116.302176
128,-8.898464616,116.302177,-8.898516369,116.3021387,-8.898412863,116.3022154
129,-8.898495094,116.3022194,-8.898547904,116.3021825,-8.898442285,116.3022563
130,-8.898524321,116.302263,-8.89857852,116.3022282,-8.898470122,116.3022978
131,-8.898551971,116.302308,-8.898607481,116.3022753,-8.898496461,116.3023406
132,-8.898578385,116.3023548,-8.898635077,116.3023243,-8.898521693,116.3023854
133,-8.89860378,116.3024036,-8.898661333,116.3023747,-8.898546227,116.3024325
134,-8.898627901,116.3024539,-8.898686489,116.3024271,-8.898569313,116.3024807
135,-8.898650549,116.3025062,-8.898710155,116.3024818,-8.898590942,116.3025307
136,-8.898671685,116.3025602,-8.898732007,116.3025376,-8.898611362,116.3025828
137,-8.898691091,116.3026151,-8.898752211,116.3025947,-8.898629971,116.3026354
138,-8.898708224,116.3026712,-8.898770275,116.3026539,-8.898646173,116.3026885
139,-8.898722922,116.3027285,-8.898785632,116.3027138,-8.898660212,116.3027432
140,-8.898735772,116.3027872,-8.898798896,116.3027744,-8.898672647,116.3028001
141,-8.898747112,116.3028469,-8.898810543,116.3028357,-8.898683681,116.3028582
142,-8.898757177,116.3029071,-8.8988208,116.302897,-8.898693554,116.3029171
143,-8.898766141,116.3029675,-8.898829946,116.3029586,-8.898702336,116.3029763
144,-8.898774091,116.3030275,-8.898837998,116.3030194,-8.898710183,116.3030356
145,-8.898781449,116.3030872,-8.898845402,116.3030795,-8.898717496,116.3030949
146,-8.898788572,116.3031466,-8.898852532,116.303139,-8.898724611,116.3031543
147,-8.898795807,116.3032056,-8.898859715,116.3031975,-8.898731898,116.3032137
148,-8.898803858,116.3032639,-8.898867556,116.3032543,-8.89874016,116.3032735
149,-8.89881351,116.3033213,-8.898876834,116.3033095,-8.898750187,116.3033331
150,-8.89882551,116.3033775,-8.898888128,116.3033624,-8.898762892,116.3033926
151,-8.898840396,116.303432,-8.898901993,116.3034132,-8.898778799,116.3034508
152,-8.898858243,116.303484,-8.898918398,116.303461,-8.898798087,116.303507
153,-8.898879291,116.3035329,-8.898937318,116.3035049,-8.898821264,116.3035608
154,-8.898903801,116.3035784,-8.898959093,116.3035454,-8.89884851,116.3036115
155,-8.898931894,116.3036205,-8.898983542,116.303582,-8.898880247,116.303659
156,-8.898963607,116.3036589,-8.899011201,116.3036155,-8.898916014,116.3037023
157,-8.89899909,116.3036939,-8.899041868,116.3036458,-8.898956311,116.3037421
158,-8.89903847,116.3037257,-8.899076619,116.3036738,-8.899000321,116.3037776
159,-8.899081472,116.3037544,-8.899114766,116.3036993,-8.899048177,116.3038096
160,-8.899127672,116.3037798,-8.899156308,116.3037221,-8.899099035,116.3038374
161,-8.899177059,116.3038019,-8.899201126,116.3037421,-8.899152993,116.3038616
162,-8.899229579,116.3038211,-8.899249837,116.30376,-8.899209321,116.3038822
