seg_index,lat_center,lon_center,lat_inner,lon_inner,lat_outer,lon_outer
0,25.488424244999997,51.450168094999995,25.4884495632141,51.450215853023344,25.488398926785894,51.450120336976646
1,25.48843231,51.450163634999996,25.4884592983699,51.45021046948141,25.4884053216301,51.45011680051858
2,25.48844025,51.450158904999995,25.48846858284991,51.45020493857878,25.48841191715009,51.45011287142121
3,25.488448065,51.450153935,25.48847773865716,51.45019911591224,25.48841839134284,51.450108754087765
4,25.488455780000002,51.45014877,25.488486245069943,51.450193421094866,25.488425314930062,51.45010411890513
5,25.48846343,51.45014348,25.488494451353166,51.450187746425286,25.488432408646833,51.45009921357472
6,25.48847104,51.450138135,25.488502154954435,51.45018233568292,25.488439925045565,51.45009393431709
7,25.488478635,51.450132765,25.48850993232308,51.450176836740695,25.48844733767692,51.4500886932593
8,25.4884862,51.45012734,25.48851790323308,51.45017112065523,25.48845449676692,51.450083559344776
9,25.48849371,51.450121825,25.488525993863274,51.450165179272354,25.488461426136727,51.45007847072764
10,25.48850119,51.450116255,25.48853347386325,51.450159609272376,25.488468906136752,51.45007290072762
11,25.48850866,51.450110675,25.488541073874103,51.450153932155764,25.4884762461259,51.45006741784423
12,25.488516155,51.450105135,25.48854799977671,51.45014881280851,25.48848431022329,51.450061457191495
13,25.488523685,51.450099644999995,25.488555529776722,51.45014332280849,25.48849184022328,51.450055967191496
14,25.48853122,51.45009416,25.488562999270602,51.450137885492786,25.488499440729395,51.45005043450721
15,25.48853878,51.450088730000004,25.488570066117017,51.450132809696484,25.48850749388298,51.450044650303525
16,25.48854637,51.450083355000004,25.488577562586265,51.45012750093211,25.48851517741374,51.450039209067896
17,25.48855398,51.450078,25.488585001353155,51.45012226642529,25.488522958646843,51.450033733574706
18,25.48856161,51.45007268,25.488592420413728,51.450117093502065,25.488530799586275,51.45002826649793
19,25.488569255,51.450067395,25.488599920147927,51.45011190892436,25.488538589852077,51.45002288107563
20,25.48857691,51.45006213,25.488607508486492,51.45010668977316,25.488546311513506,51.45001757022684
21,25.488584574999997,51.450056880000005,25.48861506715593,51.45010151260229,25.488554082844065,51.45001224739772
22,25.48859225,51.450051645,25.488622675362347,51.450096323161176,25.488561824637653,51.45000696683883
23,25.48859993,51.450046415,25.488630355362353,51.45009109316117,25.488569504637645,51.450001736838836
24,25.488607605,51.45004118,25.48863809715593,51.45008581260228,25.488577112844066,51.44999654739772
25,25.488615279999998,51.45003594000001,25.488645745069938,51.450080591094874,25.488584814930057,51.44999128890514
26,25.488622975,51.450030735,25.488653079624072,51.450075629903594,25.488592870375925,51.4499858400964
27,25.488630725,51.450025635,25.488660046413948,51.45007104530108,25.488601403586053,51.449980224698926
