t-long,t-lat
116.3057467,-8.903424928
116.3057741,-8.903400154
116.3057984,-8.90337489
116.3058231,-8.903346507
116.3058453,-8.90331452
116.3058667,-8.903284652
116.3058829,-8.903259703
116.3059026,-8.903232573
116.3059271,-8.903203232
116.3059519,-8.903174863
116.3059762,-8.90314263
116.3059974,-8.903118763
116.3060195,-8.903092831
116.3060427,-8.903066724
116.3060708,-8.903045841
116.3060985,-8.903025709
116.3061247,-8.903002426
116.3061477,-8.902975308
116.3061719,-8.902949019
116.3062072,-8.902924482
116.3062403,-8.902902774
116.3062772,-8.902879431
116.3063067,-8.902860369
116.3063417,-8.902838345
116.3063741,-8.902818779
116.3064137,-8.902799027
116.3064479,-8.902784199
116.3064888,-8.902766239
116.306527,-8.902750621
116.3065604,-8.902736955
116.3065995,-8.902722302
116.3066343,-8.902710414
116.3066736,-8.90269675
116.3067094,-8.902683647
116.3067476,-8.902673186
116.3067806,-8.902662599
116.3068188,-8.902654017
116.3068546,-8.902648042
116.3068914,-8.902641886
116.3069294,-8.902636543
116.3069643,-8.90263173
116.307001,-8.902630633
116.3070368,-8.90262973
116.3070756,-8.902629319
116.307118,-8.902626691
116.3071565,-8.902623265
116.3071949,-8.902619868
116.3072323,-8.902616632
116.3072731,-8.902614847
116.3073121,-8.902609314
116.3073512,-8.902603757
116.3073854,-8.902600017
116.3074262,-8.902595296
116.307461,-8.902589513
116.3074957,-8.902582694
116.3075337,-8.902571277
116.3075665,-8.90255971
116.3075994,-8.902548143
116.3076347,-8.902533125
116.3076692,-8.902513151
116.3076996,-8.902492863
116.3077322,-8.902471315
116.3077614,-8.902450233
116.3077856,-8.902425311
116.3078101,-8.902400731
116.3078365,-8.902376134
116.3078598,-8.902351015
116.3078827,-8.902328969
116.3079042,-8.902305117
116.3079243,-8.902278471
116.307944,-8.902255924
116.3079649,-8.90222811
116.3079835,-8.902204726
116.3080073,-8.9021764
116.3080239,-8.90215334
116.3080501,-8.902127791
116.3080797,-8.902097552
116.3081095,-8.902068287
116.3081323,-8.902032591
116.3081556,-8.902008946
116.3081846,-8.901980805
116.3082146,-8.901946413
116.3082373,-8.901917283
116.3082595,-8.901891253
116.308284,-8.901862473
116.3083112,-8.901835639
116.3083398,-8.901805512
116.3083646,-8.901782096
116.308392,-8.901756211
116.308415,-8.901729027
116.3084392,-8.901702667
116.3084672,-8.90167182
116.3084973,-8.901644513
116.3085235,-8.901617865
116.3085483,-8.901589408
116.3085751,-8.901555804
116.3086052,-8.901522448
116.3086338,-8.90149246
116.3086597,-8.901457682
116.308686,-8.90142594
116.3087039,-8.901404716
116.3087273,-8.901377262
116.3087484,-8.901350511
116.3087674,-8.901324084
116.3087887,-8.901299281
116.308811,-8.901273356
116.3088326,-8.901244409
116.3088557,-8.90121729
116.3088809,-8.901190811
116.3089032,-8.901159336
116.3089253,-8.901127213
116.3089429,-8.901097996
116.3089626,-8.901063415
116.3089772,-8.901028628
116.3089918,-8.900999876
116.309001,-8.900976026
116.3090114,-8.900939368
116.3090183,-8.90090178
